20:02:26.181 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 975.65us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 83.0 tok/s, Generation Tput: 83.0 tok/s | Execution: 48.19ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:06:00.493 INFO: Enqueued TG batch with 18 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 521.24us | Completed TG batch with 18 reqs | Terminated: 0 reqs | Completed Input Tokens: 18 toks | Prompt Tput: 454.1 tok/s, Generation Tput: 454.1 tok/s | Execution: 39.64ms | KVCache usage: 4.3% of 582 blocks | All Preemptions: 0 reqs
20:06:03.524 INFO: Enqueued TG batch with 18 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 392.89us | Completed TG batch with 19 reqs | Terminated: 0 reqs | Completed Input Tokens: 19 toks | Prompt Tput: 481.2 tok/s, Generation Tput: 481.2 tok/s | Execution: 39.48ms | KVCache usage: 3.4% of 582 blocks | All Preemptions: 0 reqs
20:06:06.551 INFO: Enqueued TG batch with 20 reqs | Pending: 0 reqs | Input Tokens: 20/8192 toks | Batch creation: 460.90us | Completed TG batch with 20 reqs | Terminated: 0 reqs | Completed Input Tokens: 20 toks | Prompt Tput: 507.1 tok/s, Generation Tput: 507.1 tok/s | Execution: 39.44ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
20:06:09.553 INFO: Enqueued TG batch with 21 reqs | Pending: 0 reqs | Input Tokens: 21/8192 toks | Batch creation: 487.26us | Completed TG batch with 21 reqs | Terminated: 0 reqs | Completed Input Tokens: 21 toks | Prompt Tput: 528.0 tok/s, Generation Tput: 528.0 tok/s | Execution: 39.77ms | KVCache usage: 4.5% of 582 blocks | All Preemptions: 0 reqs
20:06:12.564 INFO: Enqueued TG batch with 20 reqs | Pending: 0 reqs | Input Tokens: 20/8192 toks | Batch creation: 386.17us | Completed TG batch with 20 reqs | Terminated: 0 reqs | Completed Input Tokens: 20 toks | Prompt Tput: 504.2 tok/s, Generation Tput: 504.2 tok/s | Execution: 39.67ms | KVCache usage: 4.5% of 582 blocks | All Preemptions: 0 reqs
20:06:15.572 INFO: Enqueued TG batch with 22 reqs | Pending: 0 reqs | Input Tokens: 22/8192 toks | Batch creation: 477.24us | Completed TG batch with 22 reqs | Terminated: 1 reqs | Completed Input Tokens: 22 toks | Prompt Tput: 552.4 tok/s, Generation Tput: 552.4 tok/s | Execution: 39.82ms | KVCache usage: 4.6% of 582 blocks | All Preemptions: 0 reqs
20:06:18.575 INFO: Enqueued TG batch with 22 reqs | Pending: 0 reqs | Input Tokens: 22/8192 toks | Batch creation: 419.45us | Completed TG batch with 22 reqs | Terminated: 0 reqs | Completed Input Tokens: 22 toks | Prompt Tput: 553.8 tok/s, Generation Tput: 553.8 tok/s | Execution: 39.73ms | KVCache usage: 4.5% of 582 blocks | All Preemptions: 0 reqs
20:06:21.586 INFO: Enqueued TG batch with 20 reqs | Pending: 0 reqs | Input Tokens: 20/8192 toks | Batch creation: 500.52us | Completed CE batch with 1 reqs | Terminated: 0 reqs | Completed Input Tokens: 21 toks | Prompt Tput: 555.7 tok/s, Generation Tput: 26.5 tok/s | Execution: 37.79ms | KVCache usage: 4.1% of 582 blocks | All Preemptions: 0 reqs
20:06:24.610 INFO: Enqueued TG batch with 22 reqs | Pending: 0 reqs | Input Tokens: 22/8192 toks | Batch creation: 517.48us | Completed TG batch with 22 reqs | Terminated: 0 reqs | Completed Input Tokens: 22 toks | Prompt Tput: 551.7 tok/s, Generation Tput: 551.7 tok/s | Execution: 39.88ms | KVCache usage: 4.6% of 582 blocks | All Preemptions: 0 reqs
20:06:27.625 INFO: Enqueued TG batch with 23 reqs | Pending: 0 reqs | Input Tokens: 23/8192 toks | Batch creation: 518.97us | Completed TG batch with 23 reqs | Terminated: 0 reqs | Completed Input Tokens: 23 toks | Prompt Tput: 577.7 tok/s, Generation Tput: 577.7 tok/s | Execution: 39.81ms | KVCache usage: 4.8% of 582 blocks | All Preemptions: 0 reqs
20:06:30.653 INFO: Enqueued TG batch with 23 reqs | Pending: 0 reqs | Input Tokens: 23/8192 toks | Batch creation: 557.91us | Completed TG batch with 23 reqs | Terminated: 0 reqs | Completed Input Tokens: 23 toks | Prompt Tput: 576.2 tok/s, Generation Tput: 576.2 tok/s | Execution: 39.91ms | KVCache usage: 4.6% of 582 blocks | All Preemptions: 0 reqs
20:06:33.674 INFO: Enqueued TG batch with 25 reqs | Pending: 0 reqs | Input Tokens: 25/8192 toks | Batch creation: 572.17us | Completed TG batch with 25 reqs | Terminated: 0 reqs | Completed Input Tokens: 25 toks | Prompt Tput: 624.9 tok/s, Generation Tput: 624.9 tok/s | Execution: 40.00ms | KVCache usage: 5.3% of 582 blocks | All Preemptions: 0 reqs
20:06:36.712 INFO: Enqueued TG batch with 18 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 445.18us | Completed TG batch with 19 reqs | Terminated: 0 reqs | Completed Input Tokens: 19 toks | Prompt Tput: 481.6 tok/s, Generation Tput: 481.6 tok/s | Execution: 39.45ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
20:06:39.742 INFO: Enqueued TG batch with 25 reqs | Pending: 0 reqs | Input Tokens: 25/8192 toks | Batch creation: 542.23us | Completed TG batch with 25 reqs | Terminated: 0 reqs | Completed Input Tokens: 25 toks | Prompt Tput: 624.6 tok/s, Generation Tput: 624.6 tok/s | Execution: 40.03ms | KVCache usage: 5.0% of 582 blocks | All Preemptions: 0 reqs
20:06:42.782 INFO: Enqueued TG batch with 26 reqs | Pending: 0 reqs | Input Tokens: 26/8192 toks | Batch creation: 503.69us | Completed TG batch with 26 reqs | Terminated: 0 reqs | Completed Input Tokens: 26 toks | Prompt Tput: 644.2 tok/s, Generation Tput: 644.2 tok/s | Execution: 40.36ms | KVCache usage: 5.7% of 582 blocks | All Preemptions: 0 reqs
20:06:45.790 INFO: Enqueued TG batch with 26 reqs | Pending: 0 reqs | Input Tokens: 26/8192 toks | Batch creation: 554.43us | Completed TG batch with 26 reqs | Terminated: 0 reqs | Completed Input Tokens: 26 toks | Prompt Tput: 643.8 tok/s, Generation Tput: 643.8 tok/s | Execution: 40.39ms | KVCache usage: 5.7% of 582 blocks | All Preemptions: 0 reqs
20:06:48.792 INFO: Enqueued CE batch with 1 reqs | Pending: 0 reqs | Input Tokens: 21/8192 toks | Batch creation: 636.71us | Completed TG batch with 26 reqs | Terminated: 1 reqs | Completed Input Tokens: 26 toks | Prompt Tput: 646.0 tok/s, Generation Tput: 646.0 tok/s | Execution: 40.25ms | KVCache usage: 4.8% of 582 blocks, Cache hit rate: 0.0% (0 hit, 21 miss) | All Preemptions: 0 reqs
20:06:51.801 INFO: Enqueued TG batch with 28 reqs | Pending: 0 reqs | Input Tokens: 28/8192 toks | Batch creation: 569.90us | Completed TG batch with 28 reqs | Terminated: 0 reqs | Completed Input Tokens: 28 toks | Prompt Tput: 690.7 tok/s, Generation Tput: 690.7 tok/s | Execution: 40.54ms | KVCache usage: 5.7% of 582 blocks | All Preemptions: 0 reqs
20:06:54.829 INFO: Enqueued TG batch with 28 reqs | Pending: 0 reqs | Input Tokens: 28/8192 toks | Batch creation: 576.90us | Completed CE batch with 1 reqs | Terminated: 0 reqs | Completed Input Tokens: 23 toks | Prompt Tput: 607.8 tok/s, Generation Tput: 26.4 tok/s | Execution: 37.84ms | KVCache usage: 5.8% of 582 blocks | All Preemptions: 0 reqs
20:06:57.840 INFO: Enqueued TG batch with 25 reqs | Pending: 0 reqs | Input Tokens: 25/8192 toks | Batch creation: 489.07us | Completed TG batch with 25 reqs | Terminated: 0 reqs | Completed Input Tokens: 25 toks | Prompt Tput: 622.7 tok/s, Generation Tput: 622.7 tok/s | Execution: 40.15ms | KVCache usage: 5.2% of 582 blocks | All Preemptions: 0 reqs
20:07:00.852 INFO: Enqueued TG batch with 27 reqs | Pending: 0 reqs | Input Tokens: 27/8192 toks | Batch creation: 605.06us | Completed TG batch with 27 reqs | Terminated: 0 reqs | Completed Input Tokens: 27 toks | Prompt Tput: 673.2 tok/s, Generation Tput: 673.2 tok/s | Execution: 40.11ms | KVCache usage: 5.3% of 582 blocks | All Preemptions: 0 reqs
20:07:03.862 INFO: Enqueued TG batch with 29 reqs | Pending: 0 reqs | Input Tokens: 29/8192 toks | Batch creation: 697.27us | Completed TG batch with 30 reqs | Terminated: 0 reqs | Completed Input Tokens: 30 toks | Prompt Tput: 737.9 tok/s, Generation Tput: 737.9 tok/s | Execution: 40.66ms | KVCache usage: 6.0% of 582 blocks | All Preemptions: 0 reqs
20:07:06.894 INFO: Enqueued CE batch with 2 reqs | Pending: 0 reqs | Input Tokens: 46/8192 toks | Batch creation: 773.69us | Completed TG batch with 27 reqs | Terminated: 0 reqs | Completed Input Tokens: 27 toks | Prompt Tput: 669.3 tok/s, Generation Tput: 669.3 tok/s | Execution: 40.34ms | KVCache usage: 5.7% of 582 blocks, Cache hit rate: 0.0% (0 hit, 46 miss) | All Preemptions: 0 reqs
20:07:09.905 INFO: Enqueued TG batch with 30 reqs | Pending: 0 reqs | Input Tokens: 30/8192 toks | Batch creation: 621.99us | Completed TG batch with 30 reqs | Terminated: 0 reqs | Completed Input Tokens: 30 toks | Prompt Tput: 739.0 tok/s, Generation Tput: 739.0 tok/s | Execution: 40.60ms | KVCache usage: 5.7% of 582 blocks | All Preemptions: 0 reqs
20:07:12.935 INFO: Enqueued TG batch with 31 reqs | Pending: 0 reqs | Input Tokens: 31/8192 toks | Batch creation: 551.78us | Completed TG batch with 31 reqs | Terminated: 0 reqs | Completed Input Tokens: 31 toks | Prompt Tput: 758.9 tok/s, Generation Tput: 758.9 tok/s | Execution: 40.85ms | KVCache usage: 6.2% of 582 blocks | All Preemptions: 0 reqs
20:07:15.937 INFO: Enqueued TG batch with 28 reqs | Pending: 0 reqs | Input Tokens: 28/8192 toks | Batch creation: 579.31us | Completed TG batch with 28 reqs | Terminated: 0 reqs | Completed Input Tokens: 28 toks | Prompt Tput: 690.0 tok/s, Generation Tput: 690.0 tok/s | Execution: 40.58ms | KVCache usage: 6.0% of 582 blocks | All Preemptions: 0 reqs
20:07:18.966 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 396.93us | Completed TG batch with 14 reqs | Terminated: 0 reqs | Completed Input Tokens: 14 toks | Prompt Tput: 357.5 tok/s, Generation Tput: 357.5 tok/s | Execution: 39.16ms | KVCache usage: 2.7% of 582 blocks | All Preemptions: 0 reqs
20:07:21.986 INFO: Enqueued TG batch with 3 reqs | Pending: 0 reqs | Input Tokens: 3/8192 toks | Batch creation: 285.72us | Completed TG batch with 3 reqs | Terminated: 0 reqs | Completed Input Tokens: 3 toks | Prompt Tput: 79.9 tok/s, Generation Tput: 79.9 tok/s | Execution: 37.57ms | KVCache usage: 0.7% of 582 blocks | All Preemptions: 0 reqs
20:07:24.991 INFO: Enqueued TG batch with 1 reqs | Pending: 0 reqs | Input Tokens: 1/8192 toks | Batch creation: 318.60us | Completed TG batch with 1 reqs | Terminated: 1 reqs | Completed Input Tokens: 1 toks | Prompt Tput: 30.8 tok/s, Generation Tput: 30.8 tok/s | Execution: 32.50ms | KVCache usage: 0.0% of 582 blocks | All Preemptions: 0 reqs
